Left Pressure (N),Right Pressure (N),Trial,Stimuli,Experiment Time Clock (Micro Sec)
0.00,0.00,ITI,-1,15965528
0.00,0.00,ITI,-1,15993608
0.00,0.00,ITI,-1,16021688
0.00,0.00,ITI,-1,16049768
0.00,0.00,ITI,-1,16077848
0.00,0.00,ITI,-1,16105928
0.00,0.00,ITI,-1,16134008
0.00,0.00,ITI,-1,16162088
0.00,0.00,ITI,-1,16190168
0.00,0.00,ITI,-1,16218248
0.00,0.00,ITI,-1,16246328
0.00,0.00,ITI,-1,16274408
0.00,0.00,ITI,-1,16302488
0.00,0.00,ITI,-1,16330576
0.00,0.00,ITI,-1,16358648
0.00,0.00,ITI,-1,16386728
0.00,0.00,ITI,-1,16414808
0.00,0.00,ITI,-1,16442888
0.00,0.00,ITI,-1,16470968
0.00,0.00,ITI,-1,16499048
0.00,0.00,ITI,-1,16527128
0.00,0.00,ITI,-1,16555208
0.00,0.00,ITI,-1,16583288
0.00,0.00,ITI,-1,16611368
0.00,0.00,ITI,-1,16639448
0.00,0.00,ITI,-1,16667528
0.00,0.00,ITI,-1,16695608
0.00,0.00,ITI,-1,16723688
0.00,0.00,ITI,-1,16751768
0.00,0.00,ITI,-1,16779848
0.00,0.00,ITI,-1,16807928
0.00,0.00,ITI,-1,16836008
0.00,0.00,ITI,-1,16864088
0.00,0.00,ITI,-1,16892168
0.00,0.00,ITI,-1,16920248
0.00,0.00,ITI,-1,16948328
0.00,0.00,ITI,-1,16976408
0.00,0.00,ITI,-1,17004488
0.00,0.00,ITI,-1,17032568
0.00,0.00,ITI,-1,17060648
0.00,0.00,ITI,-1,17088728
0.00,0.00,ITI,-1,17116808
0.00,0.00,ITI,-1,17144888
0.00,0.00,ITI,-1,17172968
0.00,0.00,ITI,-1,17201048
0.00,0.00,ITI,-1,17229128
0.00,0.00,ITI,-1,17257208
0.00,0.00,ITI,-1,17285288
0.00,0.00,ITI,-1,17313368
0.00,0.00,ITI,-1,17341448
